sex; entity; period; age-group; c1yr; rs1yr; LL_rs1yr;UL_rs1yr;i_1yr; c5yr; rs5yr; LL_rs5yr; UL_rs5yr;i_5yr; c10yr; rs10yr; LL_rs10yr; UL_rs10yr;i_10yr;
1 ;10 ;2001 ;2 ;  0; 97; 78;100;. ;  0; 82; 61; 94;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;3 ;  0; 99; 91;101;. ;  0; 86; 74; 95;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;4 ;  0;100; 91;104;. ;  0; 90; 73;103;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;5 ;  0; 87; 68; 99;. ;  0; 79; 49;110;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;0 ;  0; 99; 97;102;1 ;  0; 91; 84; 99;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;1 ;  0;100;100;100;1 ;  0;101;101;101;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;2 ;  0; 96; 72;100;1 ;  0; 79; 53; 93;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;3 ;  0;102;102;102;1 ;  0; 87; 73; 97;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;4 ;  0; 98; 89;101;1 ;  0; 84; 69; 96;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;5 ;  0;102; 87;108;1 ;  0;119; 88;143;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;0 ;  0; 99; 97;102;1 ;  0; 91; 84; 99;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;1 ;  0;100;100;100;1 ;  0;101;101;101;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;2 ;  0; 96; 72;100;1 ;  0; 79; 53; 93;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;3 ;  0;102;102;102;1 ;  0; 87; 73; 97;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;4 ;  0; 98; 89;101;1 ;  0; 84; 69; 96;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;5 ;  0;102; 87;108;1 ;  0;119; 88;143;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;0 ;  0;102; 99;105;. ;  0; 89; 77;103;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;1 ;  0;100;100;100;1 ;  0; 97; 69;102;1 ;  0; * ; * ; * ;.
2 ;10 ;1981 ;2 ;  0;100;100;100;1 ;  0; 97; 69;102;1 ;  0; * ; * ; * ;.
2 ;10 ;1981 ;3 ;  0;101;101;101;. ;  0; 82; 51; 98;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;4 ;  0;104;104;104;. ;  0; 83; 57;101;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;5 ;  0;100; 53;110;. ;  0; 97; 36;146;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;0 ;  0; 97; 91;102;. ;  0; 91; 80;102;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;1 ;  0;100;100;100;1 ;  0; 94; 58;101;1 ;  0; * ; * ; * ;.
2 ;10 ;1986 ;2 ;  0;100;100;100;1 ;  0; 94; 58;101;1 ;  0; * ; * ; * ;.
2 ;10 ;1986 ;3 ;  0; 94; 58;101;. ;  0; 94; 57;106;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;4 ;  0; 97; 80;102;. ;  0; 86; 62;102;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;5 ;  0; 93; 59;105;. ;  0; 86; 39;125;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;0 ;  0;100; 98;103;. ;  0; 95; 86;103;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;1 ;  0; 95; 67;100;1 ;  0; 91; 64;100;1 ;  0; * ; * ; * ;.
2 ;10 ;1991 ;2 ;  0; 95; 67;100;1 ;  0; 91; 64;100;1 ;  0; * ; * ; * ;.
2 ;10 ;1991 ;3 ;  0;102;102;102;. ;  0;100; 75;108;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;4 ;  0;104;104;104;. ;  0;101; 79;113;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;5 ;  0;102; 80;108;. ;  0; 78; 43;111;. ;  0; * ; * ; * ;.
2 ;10 ;1991 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;0 ;  0; 96; 92;101;. ;  0; 87; 79; 97;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;1 ;  0;100;100;100;1 ;  0; 90; 69; 98;1 ;  0; * ; * ; * ;.
2 ;10 ;1996 ;2 ;  0;100;100;100;1 ;  0; 90; 69; 98;1 ;  0; * ; * ; * ;.
2 ;10 ;1996 ;3 ;  0; 95; 78;100;. ;  0; 85; 64; 97;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;4 ;  0; 97; 78;102;. ;  0; 93; 70;107;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;5 ;  0; 90; 68;101;. ;  0; 75; 43;105;. ;  0; * ; * ; * ;.
2 ;10 ;1996 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;0 ;  0; 97; 92;102;. ;  0; 92; 81;103;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;1 ;  0;100;100;100;1 ;  0;102;102;102;1 ;  0; * ; * ; * ;.
2 ;10 ;2001 ;2 ;  0;100;100;100;1 ;  0;102;102;102;1 ;  0; * ; * ; * ;.
2 ;10 ;2001 ;3 ;  0;101;101;101;. ;  0; 78; 47; 95;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;4 ;  0; 90; 60;100;. ;  0; 91; 56;109;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;5 ;  0; 94; 73;103;. ;  0; 96; 60;125;. ;  0; * ; * ; * ;.
2 ;10 ;2001 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;2006 ;0 ;  0; 96; 92;101;1 ;  0; 95; 87;104;1 ;  0; * ; * ; * ;.
2 ;10 ;2006 ;1 ;  0;100;100;100;1 ;  0;102;102;102;1 ;  0; * ; * ; * ;.
2 ;10 ;2006 ;2 ;  0;100;100;100;1 ;  0;102;102;102;1 ;  0; * ; * ; * ;.
2 ;10 ;2006 ;3 ;  0;101;101;101;1 ;  0;101; 75;106;1 ;  0; * ; * ; * ;.
2 ;10 ;2006 ;4 ;  0; 90; 73; 98;1 ;  0; 83; 60; 98;1 ;  0; * ; * ; * ;.
2 ;10 ;2006 ;5 ;  0; 91; 62;103;1 ;  0; 94; 49;126;1 ;  0; * ; * ; * ;.
2 ;10 ;2006 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;2011 ;0 ;  0; 96; 92;101;1 ;  0; 95; 87;104;1 ;  0; * ; * ; * ;.
2 ;10 ;2011 ;1 ;  0;100;100;100;1 ;  0;102;102;102;1 ;  0; * ; * ; * ;.
2 ;10 ;2011 ;2 ;  0;100;100;100;1 ;  0;102;102;102;1 ;  0; * ; * ; * ;.
2 ;10 ;2011 ;3 ;  0;101;101;101;1 ;  0;101; 75;106;1 ;  0; * ; * ; * ;.
2 ;10 ;2011 ;4 ;  0; 90; 73; 98;1 ;  0; 83; 60; 98;1 ;  0; * ; * ; * ;.
2 ;10 ;2011 ;5 ;  0; 91; 62;103;1 ;  0; 94; 49;126;1 ;  0; * ; * ; * ;.
2 ;10 ;2011 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1981 ;0 ;  0; 65; 60; 70;. ;  0; 37; 31; 44;. ;  0; * ; * ; * ;.
1 ;20 ;1981 ;1 ;  0; 84; 71; 91;. ;  0; 39; 26; 52;. ;  0; * ; * ; * ;.
1 ;20 ;1981 ;2 ;  0; 60; 50; 69;. ;  0; 32; 23; 42;. ;  0; * ; * ; * ;.
1 ;20 ;1981 ;3 ;  0; 67; 59; 74;. ;  0; 34; 25; 42;. ;  0; * ; * ; * ;.
1 ;20 ;1981 ;4 ;  0; 63; 51; 73;. ;  0; 33; 21; 46;. ;  0; * ; * ; * ;.
1 ;20 ;1981 ;5 ;  0; 54; 35; 70;. ;  0; 55; 27; 88;. ;  0; * ; * ; * ;.
1 ;20 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;0 ;  0; 70; 66; 75;. ;  0; 34; 29; 40;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;1 ;  0; 84; 74; 90;. ;  0; 48; 37; 58;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;2 ;  0; 73; 64; 80;. ;  0; 38; 28; 47;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;3 ;  0; 71; 63; 77;. ;  0; 32; 24; 40;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;4 ;  0; 68; 57; 77;. ;  0; 28; 17; 40;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;5 ;  0; 60; 43; 74;. ;  0; 35; 16; 60;. ;  0; * ; * ; * ;.
1 ;20 ;1986 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;0 ;  0; 65; 61; 70;. ;  0; 33; 29; 38;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;1 ;  0; 71; 62; 78;. ;  0; 47; 38; 56;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;2 ;  0; 72; 65; 78;. ;  0; 39; 32; 46;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;3 ;  0; 67; 59; 73;. ;  0; 34; 27; 42;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;4 ;  0; 66; 56; 74;. ;  0; 33; 23; 45;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;5 ;  0; 48; 30; 65;. ;  0; 12;  2; 36;. ;  0; * ; * ; * ;.
1 ;20 ;1991 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;0 ;  0; 70; 66; 74;. ;  0; 41; 36; 47;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;1 ;  0; 77; 69; 84;. ;  0; 55; 47; 63;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;2 ;  0; 80; 74; 84;. ;  0; 43; 37; 49;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;3 ;  0; 71; 64; 77;. ;  0; 33; 26; 40;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;4 ;  0; 64; 55; 73;. ;  0; 41; 30; 52;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;5 ;  0; 60; 42; 75;. ;  0; 41; 20; 67;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
